"","Origin","Weather","Security","LateAircraft"
"233","LAX",0,0,11
"234","LAX",0,0,21
"237","LAX",0,0,24
"238","LAX",0,0,12
"240","LAX",0,0,91
"241","LAX",0,0,8
"242","LAX",0,0,55
"243","LAX",0,0,28
"244","LAX",0,0,6
"245","LAX",0,0,14
"247","LAX",0,0,14
"248","LAX",0,0,47
"249","LAX",0,0,1
"250","LAX",0,0,18
"252","LAX",0,0,47
"253","LAX",0,0,25
"254","LAX",0,0,28
"257","LAX",0,0,20
"258","LAX",0,0,22
"260","LAX",0,0,8
"263","LAX",0,0,27
"264","LAX",0,0,59
"265","LAX",0,0,23
"266","LAX",0,0,7
"267","LAX",0,0,15
"268","LAX",0,0,27
"269","LAX",0,0,46
"270","LAX",0,0,31
"271","LAX",0,0,27
"272","LAX",0,0,34
"273","LAX",0,0,20
"274","LAX",0,0,17
"275","LAX",0,3,107
"276","LAX",0,0,23
"277","LAX",0,0,3
"281","LAX",0,0,31
"283","LAX",0,0,70
"285","LAX",0,0,23
"286","LAX",0,0,0
"287","LAX",0,0,6
"289","LAX",0,0,23
"294","LAX",0,0,0
"295","LAX",24,0,99
"296","LAX",0,0,113
"297","LAX",0,0,0
"298","LAX",0,0,0
"299","LAX",0,0,51
"300","LAX",0,0,17
"301","LAX",0,0,35
"302","LAX",0,0,15
"303","LAX",12,0,53
"304","LAX",0,0,4
"305","LAX",0,0,48
"306","LAX",0,0,17
"307","LAX",0,0,9
"310","LAX",0,0,13
"311","LAX",0,0,59
"312","LAX",0,0,38
"315","LAX",0,0,56
"316","LAX",0,0,3
"317","LAX",0,0,35
"319","LAX",0,0,31
"320","LAX",0,0,15
"324","LAX",0,0,74
"326","LAX",0,0,26
"2304","LAX",0,0,98
"2305","LAX",0,0,51
"2307","LAX",0,0,9
"2309","LAX",0,0,27
"2310","LAX",0,0,122
"2311","LAX",0,0,40
"2312","LAX",0,0,39
"2313","LAX",12,0,20
"2314","LAX",0,0,20
"2315","LAX",0,0,0
"2316","LAX",0,0,59
"2317","LAX",0,0,26
"2319","LAX",5,0,49
"2320","LAX",0,0,120
"2321","LAX",0,0,59
"2323","LAX",0,0,13
"2324","LAX",0,0,76
"2325","LAX",0,0,69
"2326","LAX",0,0,97
"2327","LAX",0,0,118
"2328","LAX",0,0,32
"2329","LAX",2,0,22
"2330","LAX",11,0,196
"2332","LAX",0,0,19
"2334","LAX",0,0,19
"2336","LAX",0,0,47
"2337","LAX",0,0,58
"2338","LAX",0,0,30
"2339","LAX",0,0,0
"2340","LAX",5,0,12
"2341","LAX",0,0,18
"2342","LAX",0,0,7
"2343","LAX",0,0,116
"2346","LAX",0,0,26
"2347","LAX",0,0,24
"2348","LAX",0,0,47
"2349","LAX",0,0,10
"2350","LAX",0,0,57
"2351","LAX",0,0,12
"2352","LAX",0,0,23
"2353","LAX",0,0,23
"2354","LAX",0,0,20
"2355","LAX",0,0,93
"2356","LAX",0,0,10
"2357","LAX",0,0,67
"2358","LAX",0,0,26
"2359","LAX",4,0,39
"2360","LAX",0,0,0
"2361","LAX",0,0,23
"2362","LAX",0,0,15
"2363","LAX",0,0,109
"2364","LAX",0,0,17
"2365","LAX",0,0,84
"2366","LAX",202,0,28
"2367","LAX",0,0,75
"2368","LAX",0,0,80
"2369","LAX",0,0,35
"2370","LAX",0,0,19
"2371","LAX",0,0,21
"2372","LAX",0,0,72
"2373","LAX",0,0,85
"2374","LAX",0,0,22
"2375","LAX",0,0,20
"2376","LAX",0,0,10
"2377","LAX",0,0,25
"2378","LAX",5,0,49
"2379","LAX",0,0,70
"2380","LAX",0,0,35
"2381","LAX",0,0,4
"2382","LAX",0,0,115
"2383","LAX",0,0,27
"2384","LAX",0,0,32
"2385","LAX",26,0,0
"2386","LAX",0,0,14
"2387","LAX",0,0,9
"2388","LAX",0,0,36
"2389","LAX",0,0,0
"2390","LAX",0,0,0
"2391","LAX",0,0,33
"2392","LAX",0,0,11
"2393","LAX",0,0,72
"4003","LAX",0,0,23
"4004","LAX",0,0,16
"4005","LAX",0,0,0
"4006","LAX",0,0,20
"4007","LAX",0,0,15
"4008","LAX",0,0,12
"4009","LAX",0,0,38
"4011","LAX",0,0,61
"4012","LAX",0,0,153
"4013","LAX",0,0,34
"4014","LAX",0,0,73
"4015","LAX",0,0,36
"4016","LAX",0,0,16
"4017","LAX",0,0,34
"4018","LAX",0,0,60
"4019","LAX",0,0,65
"4020","LAX",0,0,24
"4021","LAX",0,0,26
"4022","LAX",0,0,59
"4023","LAX",0,0,24
"4024","LAX",0,0,0
"4025","LAX",0,0,6
"4027","LAX",0,0,20
"4028","LAX",0,0,0
"4031","LAX",0,0,13
"4036","LAX",0,0,2
"4037","LAX",0,0,30
"4038","LAX",0,0,36
"4039","LAX",0,0,35
"4040","LAX",0,0,18
"4041","LAX",0,0,67
"4042","LAX",0,0,130
"4043","LAX",0,0,8
"4044","LAX",0,0,76
"4045","LAX",0,0,23
"4046","LAX",0,0,29
"4047","LAX",0,0,66
"4048","LAX",0,0,5
"4049","LAX",0,0,109
"4050","LAX",0,0,36
"4053","LAX",0,0,21
"4054","LAX",25,0,44
"4056","LAX",0,0,15
"4057","LAX",0,0,204
"4058","LAX",0,0,165
"4059","LAX",93,0,0
"4060","LAX",150,0,6
"4061","LAX",0,0,39
"4062","LAX",0,0,18
"4063","LAX",0,0,113
"4064","LAX",0,0,14
